dataset,task,metric,fold,model,value
evons,disinformation,accuracy,1,mlp_bert,0.9794019576207379
evons,disinformation,f1,1,mlp_bert,0.977309082291605
evons,disinformation,precision,1,mlp_bert,0.9908697741470447
evons,disinformation,recall,1,mlp_bert,0.964114552893045
evons,disinformation,auc,1,mlp_bert,0.9982272294102096
evons,disinformation,accuracy,2,mlp_bert,0.9805313542002797
evons,disinformation,f1,2,mlp_bert,0.9786682380671774
evons,disinformation,precision,2,mlp_bert,0.9868092691622103
evons,disinformation,recall,2,mlp_bert,0.9706604324956166
evons,disinformation,auc,2,mlp_bert,0.9979451151613324
evons,disinformation,accuracy,3,mlp_bert,0.9838119823599011
evons,disinformation,f1,3,mlp_bert,0.9824786076023051
evons,disinformation,precision,3,mlp_bert,0.9785482374768089
evons,disinformation,recall,3,mlp_bert,0.9864406779661017
evons,disinformation,auc,3,mlp_bert,0.9987095447567462
evons,disinformation,accuracy,4,mlp_bert,0.9858556523609766
evons,disinformation,f1,4,mlp_bert,0.9845630099195868
evons,disinformation,precision,4,mlp_bert,0.9887998113652441
evons,disinformation,recall,4,mlp_bert,0.9803623611922853
evons,disinformation,auc,4,mlp_bert,0.998874779942095
evons,disinformation,accuracy,5,mlp_bert,0.984080886307411
evons,disinformation,f1,5,mlp_bert,0.9825964252116651
evons,disinformation,precision,5,mlp_bert,0.9885247841003194
evons,disinformation,recall,5,mlp_bert,0.976738749269433
evons,disinformation,auc,5,mlp_bert,0.998819053383214
evons,disinformation,accuracy,6,mlp_bert,0.983865763149403
evons,disinformation,f1,6,mlp_bert,0.9824067558057706
evons,disinformation,precision,6,mlp_bert,0.985759679887019
evons,disinformation,recall,6,mlp_bert,0.9790765634132087
evons,disinformation,auc,6,mlp_bert,0.9987091255849704
evons,disinformation,accuracy,7,mlp_bert,0.9808540389372916
evons,disinformation,f1,7,mlp_bert,0.9789548356585481
evons,disinformation,precision,7,mlp_bert,0.9903121636167922
evons,disinformation,recall,7,mlp_bert,0.9678550555230859
evons,disinformation,auc,7,mlp_bert,0.998668733726893
evons,disinformation,accuracy,8,mlp_bert,0.9815531892008175
evons,disinformation,f1,8,mlp_bert,0.9800824574647233
evons,disinformation,precision,8,mlp_bert,0.973805677359797
evons,disinformation,recall,8,mlp_bert,0.9864406779661017
evons,disinformation,auc,8,mlp_bert,0.9984942418314918
evons,disinformation,accuracy,9,mlp_bert,0.9829514897278692
evons,disinformation,f1,9,mlp_bert,0.9813408676202249
evons,disinformation,precision,9,mlp_bert,0.9883803651885227
evons,disinformation,recall,9,mlp_bert,0.9744009351256575
evons,disinformation,auc,9,mlp_bert,0.9987419607074198
evons,disinformation,accuracy,10,mlp_bert,0.9798322039367537
evons,disinformation,f1,10,mlp_bert,0.9783624718712134
evons,disinformation,precision,10,mlp_bert,0.9660437556973565
evons,disinformation,recall,10,mlp_bert,0.9909994155464641
evons,disinformation,auc,10,mlp_bert,0.9987934606175599
evons,disinformation,accuracy,1,logreg_bert,0.9714961815639453
evons,disinformation,f1,1,logreg_bert,0.9688565048771889
evons,disinformation,precision,1,logreg_bert,0.9741226515420064
evons,disinformation,recall,1,logreg_bert,0.9636469900642899
evons,disinformation,auc,1,logreg_bert,0.9961260959522619
evons,disinformation,accuracy,2,logreg_bert,0.9686995805098418
evons,disinformation,f1,2,logreg_bert,0.9658370509509274
evons,disinformation,precision,2,logreg_bert,0.9700507015682113
evons,disinformation,recall,2,logreg_bert,0.9616598480420806
evons,disinformation,auc,2,logreg_bert,0.9953268867431047
evons,disinformation,accuracy,3,logreg_bert,0.9700978810368937
evons,disinformation,f1,3,logreg_bert,0.967321029740214
evons,disinformation,precision,3,logreg_bert,0.9728100248256295
evons,disinformation,recall,3,logreg_bert,0.9618936294564582
evons,disinformation,auc,3,logreg_bert,0.9959816912754459
evons,disinformation,accuracy,4,logreg_bert,0.9720877702484673
